                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1037,                 3.6594,                 1.7909,                0.00508,                0.67889,                0.04861,                0.02399,                 1.2935,                 3.6512,                 1.2841,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.6016,                  3.275,                 1.4602,                0.00608,                0.71775,                0.10868,                0.07374,                 1.5355,                 3.6366,                 1.4049,             0.00015563,             0.00015563,             0.00015563
                      3,                 1.3268,                 2.6951,                 1.3616,                0.00555,                0.67707,                0.10683,                0.06464,                 1.5822,                 3.5865,                 1.4193,             0.00023812,             0.00023812,             0.00023812
                      4,                 1.2528,                 2.3639,                 1.3094,                0.00561,                0.67269,                0.06805,                0.03758,                 1.5002,                 3.5625,                 1.3901,             0.00031891,             0.00031891,             0.00031891
                      5,                 1.2616,                 2.2435,                 1.2915,                0.00742,                0.66028,                0.08013,                0.04593,                 1.5492,                 3.5251,                 1.4172,               0.000398,               0.000398,               0.000398
                      6,                 1.1476,                 2.0014,                 1.2399,                0.28516,                 0.1653,                0.10988,                0.06306,                 1.3731,                 3.2381,                 1.3248,             0.00047539,             0.00047539,             0.00047539
                      7,                 1.1527,                 1.9947,                 1.2104,                0.28103,                0.22806,                0.12548,                0.06503,                 1.3721,                 3.0866,                 1.3351,             0.00055109,             0.00055109,             0.00055109
                      8,                 1.0476,                 1.7381,                 1.1661,                0.06917,                0.22989,                0.21985,                0.13161,                 1.3479,                  2.988,                 1.4323,             0.00062509,             0.00062509,             0.00062509
                      9,                 1.1019,                 1.7211,                 1.2034,                0.18696,                0.43908,                0.27866,                0.16419,                 1.5486,                 3.0471,                 1.5117,             0.00069739,             0.00069739,             0.00069739
                     10,                 1.1182,                 1.7363,                 1.2182,                 0.7083,                0.49425,                0.47602,                0.37429,                   1.47,                 2.7572,                 1.5393,             0.00076799,             0.00076799,             0.00076799
                     11,                 1.0475,                 1.5834,                 1.1674,                0.74572,                0.54023,                0.57223,                0.45431,                 1.4066,                 2.6107,                 1.5386,             0.00083689,             0.00083689,             0.00083689
                     12,                0.98968,                 1.5534,                  1.145,                0.49695,                0.65663,                0.62108,                0.34027,                 1.5833,                 2.5145,                 1.6976,              0.0009041,              0.0009041,              0.0009041
                     13,                 1.0039,                 1.3958,                 1.1517,                0.47198,                0.58773,                0.55872,                0.30815,                 1.6166,                 2.4829,                 1.7207,             0.00096961,             0.00096961,             0.00096961
                     14,                 0.9888,                 1.4373,                 1.1625,                0.47754,                0.49294,                0.34893,                0.20525,                 1.6794,                 2.7217,                 1.6544,              0.0010334,              0.0010334,              0.0010334
                     15,                0.98228,                 1.4742,                 1.1626,                0.51738,                0.56546,                0.38483,                  0.234,                 1.6357,                 2.5987,                 1.5864,              0.0010955,              0.0010955,              0.0010955
                     16,                0.99611,                 1.4299,                 1.1443,                 0.6237,                0.52394,                 0.5416,                 0.2547,                 1.6602,                 2.5685,                 1.5298,               0.001156,               0.001156,               0.001156
                     17,                0.95899,                 1.4011,                 1.1216,                0.58257,                0.49936,                0.56624,                0.32992,                 1.5688,                 2.4589,                  1.437,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0001,                 1.3207,                 1.1493,                0.50938,                0.62059,                0.65128,                0.43417,                 1.5145,                 2.4603,                 1.4613,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.0082,                  1.402,                  1.164,                0.59358,                 0.5083,                0.59742,                0.40342,                 1.6072,                 2.5776,                 1.5204,              0.0011885,              0.0011885,              0.0011885
                     20,                0.96567,                 1.2918,                 1.1283,                0.56463,                0.49075,                0.57976,                0.33235,                 1.5337,                 2.6321,                  1.439,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.0273,                  1.423,                 1.1648,                0.49501,                 0.4844,                0.54096,                0.36233,                 1.4983,                 2.6716,                 1.3807,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.0107,                 1.3589,                 1.1694,                0.68823,                0.54278,                0.55008,                 0.3824,                 1.5572,                 2.3447,                 1.3817,              0.0011461,              0.0011461,              0.0011461
                     23,                0.96247,                 1.2789,                  1.154,                0.57922,                0.63109,                0.67385,                0.42747,                 1.5344,                 2.1461,                 1.3881,              0.0011319,              0.0011319,              0.0011319
                     24,                0.88092,                 1.1745,                 1.0937,                0.67192,                0.60788,                0.68473,                0.51032,                 1.3064,                 2.0958,                 1.3262,              0.0011178,              0.0011178,              0.0011178
                     25,                0.93336,                 1.2436,                 1.0867,                0.50283,                0.70557,                0.67792,                0.54376,                 1.2401,                 2.1407,                 1.3225,              0.0011036,              0.0011036,              0.0011036
                     26,                0.84203,                  1.104,                 1.0732,                0.55661,                0.65481,                0.68078,                0.55524,                 1.2999,                 2.0074,                 1.3084,              0.0010895,              0.0010895,              0.0010895
